pool_address,pool_symbol,base_pool_symbol,fee_tier_pct,deposit_amount_usd,is_pair_toggled,range_percentage,apr_percentage
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,0.5,445.2339233524184
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,1.0,253.78403095597105
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,1.5,177.59659911597223
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,2.0,136.66349356029443
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,2.5,111.1115667830647
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,3.0,93.64182744704443
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,3.5,80.94276761037455
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,4.0,71.29458640314836
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,4.5,63.71544420058323
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,5.0,57.60398916080541
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,5.5,52.57132549057738
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,6.0,48.35480271272658
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,6.5,44.77063305104643
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,7.0,41.68635922895002
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,7.5,39.0041037756976
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,8.0,36.64997595808297
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,8.5,34.56714796321229
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,9.0,32.71119847153068
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,9.5,31.046902182783192
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,10.0,29.54596722783271
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,10.5,28.185409274546746
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,11.0,26.946362664730866
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,11.5,25.813197408534833
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,12.0,24.77285400858223
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,12.5,23.814335896861245
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,13.0,22.928317569118388
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,13.5,22.10683877451033
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,14.0,21.343063491221958
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,14.5,20.631088221736498
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,15.0,19.965788222008236
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,15.5,19.34269318685009
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,16.0,18.757886012161638
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,16.5,18.207919786198833
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,17.0,17.689749292046496
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,17.5,17.20067414550217
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,18.0,16.738291325981134
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,18.5,16.300455338711156
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,19.0,15.88524461426194
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,19.5,15.490933035051432
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,WBTC/USDT (0.05%),WBTC/USDT,0.0005,100000,False,20.0,15.115965698771488
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,0.5,1201.1371748523745
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,1.0,615.2355366770128
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,1.5,413.8435601496223
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,2.0,311.9616349747782
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,2.5,250.44532307639028
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,3.0,209.270270830895
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,3.5,179.77752963326967
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,4.0,157.61208359338755
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,4.5,140.3443226574511
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,5.0,126.51188857088647
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,5.5,115.18190436614695
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,6.0,105.73122654589983
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,6.5,97.72775029399428
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,7.0,90.86241196194302
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,7.5,84.90830474668881
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,8.0,79.69508063152365
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,8.5,75.09236177561421
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,9.0,70.99866689438852
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,9.5,67.33382585637196
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,10.0,64.03366451192784
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,10.5,61.04620471687676
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,11.0,58.3288984816696
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,11.5,55.84658216056783
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,12.0,53.56994108377579
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,12.5,51.474341979400464
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,13.0,49.53893434537814
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,13.5,47.745951165989595
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,14.0,46.08015922117477
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,14.5,44.52842293905373
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,15.0,43.07935534010026
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,15.5,41.72303643718226
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,16.0,40.45078435735742
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,16.5,39.25496801808631
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,17.0,38.12885281447214
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,17.5,37.06647272426388
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,18.0,36.0625237006006
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,18.5,35.11227433024765
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,19.0,34.21149058080738
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,19.5,33.35637211118767
0xc6962004f452be9203591991d15f6b388e09e8d0,WETH/USDC (0.05%),WETH/USDC,0.0005,100000,False,20.0,32.543498124157985
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,0.5,558.1807238294415
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,1.0,285.71661917934284
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,1.5,192.14710818050725
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,2.0,144.82781512185886
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,2.5,116.26177747040106
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,3.0,97.14376557905358
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,3.5,83.45108375621797
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,4.0,73.16087629881244
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,4.5,65.14475920640743
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,5.0,58.723633735395474
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,5.5,53.46431692477868
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,6.0,49.07746826371786
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,6.5,45.362460890932056
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,7.0,42.175801988513115
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,7.5,39.412146369881235
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,8.0,36.992409545820436
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,8.5,34.8560648488304
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,9.0,32.95600163276522
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,9.5,31.25500327430006
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,10.0,29.723279347514804
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,10.5,28.336701349166198
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,11.0,27.075518585051878
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,11.5,25.92340837338996
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,12.0,24.866763242760015
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,12.5,23.89414888809616
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,13.0,22.99588699266467
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,13.5,22.1637305984649
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,14.0,21.390608925924788
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,14.5,20.67042490583671
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,15.0,19.997893142854686
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,15.5,19.36840919438373
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,16.0,18.777943324459205
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,16.5,18.22295354818365
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,17.0,17.700314000506282
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,17.5,17.207255568501406
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,18.0,16.741316405622786
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,18.5,16.300300460692945
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,19.0,15.882242547016167
0x2f5e87c9312fa29aed5c179e456625d79015299c,WBTC/WETH (0.05%),WBTC/WETH,0.0005,100000,False,19.5,15.48537877912945
